Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Swagger,NORMAL,Status,0,90,15,0,Single exc. user,bce,Raises the target’s Attack by 2 stages and confuses the target.
Swallow,NORMAL,Status,0,101,10,0,User,do,"User gains HP according to user’s Stockpile count: 1/4 max. HP if it’s 1; half max. HP, if it’s 2; and all HP if it’s 3. Resets..."
Sweet Kiss,NORMAL,Status,0,75,10,0,Single exc. user,bce,Confuses the target.
Sweet Scent,NORMAL,Status,0,100,20,0,All opposing Pokémon,bce,Lowers the target’s evasiveness by 1 stage.
Swift,NORMAL,Special,60,101,20,0,All opposing Pokémon,be,
Switcheroo,DARK,Status,0,100,10,0,Single exc. user,be,"Simultaneously, user receives the target’s item, and the target receives user’s item."
Swords Dance,NORMAL,Status,0,101,30,0,User,d,Raises user’s Attack by 2 stages.
Synchronoise,PSYCHIC,Special,70,100,15,0,All exc. user,be,This attack is ineffective against the target if the target doesn’t share a type with the user’s types.
Synthesis,GRASS,Status,0,101,5,0,User,do,"User gains 2732/4096 max. HP during Sunny Day; otherwise, user gains 1/4 max. HP during Hail, Rain Dance, or Sandstorm; otherwi..."
Tackle,NORMAL,Physical,50,100,35,0,Single exc. user,abe,
Tail Glow,BUG,Status,0,101,20,0,User,d,Raises user’s Special Attack by 3 stages.
Tail Slap,NORMAL,Physical,25,85,10,0,Single exc. user,abe,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Tail Whip,NORMAL,Status,0,100,30,0,All opposing Pokémon,bce,Lowers the target’s Defense by 1 stage.
Tailwind,FLYING,Status,0,101,30,0,User's side,d,"For four turns, the Speed of each Pokémon in battle on user’s side is doubled."
Take Down,NORMAL,Physical,90,85,20,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 1/4 that much HP."
Taunt,DARK,Status,0,100,20,0,Single exc. user,bcep,"Lasts three turns, or if user strikes after target, four turns. Non-damaging moves can’t be used or chosen for use by target."
Techno Blast,NORMAL,Special,85,100,5,0,Single exc. user,be,"If user is holding a Drive, this attack’s type depends on the item held."
Teeter Dance,NORMAL,Status,0,100,20,0,All exc. user,be,Confuses the target.
Telekinesis,PSYCHIC,Status,0,101,15,0,Single exc. user,bcel,"For three turns, most attacks always hit the target and the target gains the advantages of Levitate."
Teleport,PSYCHIC,Status,0,101,20,0,User,,User runs from the wild Pokémon battle. Fails if battle is a Trainer battle.
Thief,DARK,Physical,40,100,10,0,Single exc. user,abe,"After this attack is used, user receives target’s item if user isn’t holding an item."
Thrash,NORMAL,Physical,120,100,10,0,Random opposing Pokémon,abe,"User uses this attack for two or three turns, then becomes confused."
Thunder,ELECTRIC,Special,120,70,10,30,Single exc. user,be,"May paralyze target. During Rain Dance, can’t be evaded. Otherwise, during Sunny Day, accuracy is 50. Can hit target even if it..."
Thunder Fang,ELECTRIC,Physical,65,95,15,10,Single exc. user,abe,May paralyze the target. May make the target flinch.
Thunder Wave,ELECTRIC,Status,0,100,20,0,Single exc. user,bce,Paralyzes the target.
ThunderPunch,ELECTRIC,Physical,75,100,15,10,Single exc. user,abej,May paralyze the target.
ThunderShock,ELECTRIC,Special,40,100,30,10,Single exc. user,be,May paralyze the target.
Thunderbolt,ELECTRIC,Special,95,100,15,10,Single exc. user,be,May paralyze the target.
Tickle,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s Attack and Defense (in that order) by 1 stage.
Torment,DARK,Status,0,100,15,0,Single exc. user,bcep,"During effect, the target can’t choose for use the last move it used. Effect ends when the target leaves the battle."
Toxic,POISON,Status,0,90,10,0,Single exc. user,bce,Badly poisons the target.
Toxic Spikes,POISON,Status,0,101,20,0,Opposing Pokémon's side,c,"Can be used up to twice. If an opponent enters battle, in most cases, this effect ends if that Pokémon is a Poison type, that P..."
Transform,NORMAL,Status,0,101,10,0,Single exc. user,,User’s stats and other characteristics become those of the target.
Tri Attack,NORMAL,Special,80,100,10,20,Single exc. user,be,"May either burn, freeze, or paralyze the target."
Trick,PSYCHIC,Status,0,100,10,0,Single exc. user,be,"Simultaneously, user receives the target’s item, and the target receives user’s item."
Trick Room,PSYCHIC,Status,0,101,5,0,Both sides,e,"For five turns, as part of determining turn order, Pokémon in battle with lower Speeds strike before those with higher Speeds,..."
Triple Kick,FIGHTING,Physical,10,90,10,0,Single exc. user,abe,Hits three times. Stops if the target avoids the hit. Power is multiplied by 2 for the second hit and by 3 for the third hit.
Trump Card,NORMAL,Special,1,101,5,0,Single exc. user,abe,"If the move user chose for use has 0 PP, power is 200. If that move has 1 PP, power is 80. If that move has 2 PP, power is 60...."
Twineedle,BUG,Physical,25,100,20,20,Single exc. user,be,Attacks twice in a row. May poison the target. (The additional effect is checked for each hit.)
Twister,DRAGON,Special,40,100,20,20,All opposing Pokémon,be,"May make the target flinch. Power is doubled if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
U-turn,BUG,Physical,70,100,20,0,Single exc. user,abe,"After this attack is used, if successful, if user has at least 1 HP and is still in battle, and if there’s at least one unfaint..."
Uproar,NORMAL,Special,90,100,10,0,Random opposing Pokémon,bek,"When the effect begins, each sleeping Pokémon in battle that isn’t rotated out wakes up. For three turns, user uses this attack..."
V-create,FIRE,Physical,180,95,5,100,Single exc. user,abe,"Lowers user’s Defense, Special Defense, and Speed by 1 stage if this attack is successful."
Vacuum Wave,FIGHTING,Special,40,100,30,0,Single exc. user,be,Priority level 1.
Venoshock,POISON,Special,65,100,10,0,Single exc. user,be,Power is doubled if the target is poisoned.
ViceGrip,NORMAL,Physical,55,100,30,0,Single exc. user,abe,
Vine Whip,GRASS,Physical,35,100,15,0,Single exc. user,abe,
Vital Throw,FIGHTING,Physical,70,101,10,0,Single exc. user,abe,Priority level -1.
Volt Switch,ELECTRIC,Special,70,100,20,0,Single exc. user,be,"After this attack is used, if successful, if user has at least 1 HP and is still in battle, and if there’s at least one unfaint..."
Volt Tackle,ELECTRIC,Physical,120,100,15,10,Single exc. user,abe,"If target loses HP because of this attack, user loses 33% that much HP. May paralyze target."
Wake-Up Slap,FIGHTING,Physical,60,100,10,0,Single exc. user,abe,"If the target is asleep, power is doubled and, if this attack is successful, the target wakes up."
Water Gun,WATER,Special,40,100,25,0,Single exc. user,be,
Water Pledge,WATER,Special,50,100,10,0,Single exc. user,be,"If at least one ally of user that strikes after user has chosen Fire Pledge or Grass Pledge for use this turn, and such a move..."
Water Pulse,WATER,Special,60,100,20,20,Single exc. user,ben,May confuse the target.
Water Sport,WATER,Status,0,101,15,0,Both sides,,"During effect, power of Fire-type attacks by any Pokémon in battle is multiplied by 1352/4096."
Water Spout,WATER,Special,150,100,5,0,All opposing Pokémon,be,"This attack’s power equals int(user’s current HP * 150 / user’s maximum HP) or 1, whichever is greater."
Waterfall,WATER,Physical,80,100,15,20,Single exc. user,abe,May make the target flinch.
Weather Ball,NORMAL,Special,50,100,10,0,Single exc. user,be,"Power is doubled during weather. During Hail, this attack’s type is Ice. During Sunny Day, this attack’s type is Fire. During S..."
Whirlpool,WATER,Special,35,85,15,100,Single exc. user,be,Multi-turn attack. Damage is doubled if target is using Dive.
Whirlwind,NORMAL,Status,0,100,20,0,Single exc. user,bcep,"In wild Pokémon battles, the battle ends. In Trainer battles, replaces the target with another Pokémon."
Wide Guard,ROCK,Status,0,101,10,0,User's side,d,"Each Pokémon in battle on user’s side that isn’t rotated out avoids damaging attacks against it with a range of ""all opposing P..."
Wild Charge,ELECTRIC,Physical,90,100,15,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 1/4 that much HP."
Will-O-Wisp,FIRE,Status,0,75,15,0,Single exc. user,bce,Burns the target.
Wing Attack,FLYING,Physical,60,100,35,0,Single exc. user,aben,
Wish,NORMAL,Status,0,101,10,0,User,do,"After the next turn, if there’s a Pokémon at the position user had when the effect began, that Pokémon gains half of user’s max..."
Withdraw,WATER,Status,0,101,40,0,User,d,Raises user’s Defense by 1 stage.
Wonder Room,PSYCHIC,Status,0,101,10,0,Both sides,e,"For five turns, other effects that refer to a Pokémon’s Defense stat instead refer to its Sp. Def stat, and vice versa, and eff..."
Wood Hammer,GRASS,Physical,120,100,15,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 33% that much HP."
Work Up,NORMAL,Status,0,101,30,0,User,d,Raises user’s Attack and Special Attack by 1 stage.
Worry Seed,GRASS,Status,0,100,10,0,Single exc. user,bce,The target’s Ability becomes Insomnia.
Wrap,NORMAL,Physical,15,90,20,100,Single exc. user,abe,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Wring Out,NORMAL,Special,1,100,5,0,Single exc. user,abe,"The more HP the target has relative to its maximum HP, the greater this attack’s power, up to 120."
X-Scissor,BUG,Physical,80,100,15,0,Single exc. user,abe,
Yawn,NORMAL,Status,0,101,10,0,Single exc. user,bce,"For two turns, after the last turn of the effect, if target has no statuses and remains in battle since this effect began, targ..."
Zap Cannon,ELECTRIC,Special,120,50,5,100,Single exc. user,be,May paralyze the target.
Zen Headbutt,PSYCHIC,Physical,80,90,15,20,Single exc. user,abe,May make the target flinch.
